participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
2,Happy,6,,,,,
2,Surprise,6,-0.2937,-0.9692,0.7528,0.572118,0.762824
2,Fear,6,0.0962,-0.7071,0.9333,0.856079,0.906103
2,Sad,6,0.5855,0.3162,0.9806,0.222068,0.596762
2,Disgust,6,-0.3244,-0.9993,0.0895,0.530435,0.762824
2,Anger,6,,,,,
2,Neutral,6,0.3095,-0.7708,0.9101,0.550514,0.762824
2,positive,6,-0.2937,-0.9692,0.7528,0.572118,0.762824
2,negative,6,-0.075,-0.988,0.9283,0.887774,0.906103
2,non_neutral,6,-0.3095,-0.9101,0.7708,0.550514,0.762824
2,blinks_short,6,0.6426,-0.44,0.9858,0.168791,0.596762
2,blinks_medium,6,-0.666,-0.9858,0.3528,0.148676,0.596762
2,blinks_long,6,0.7777,0.6712,1.0,0.068606,0.596762
2,fixations_short_low_dispersion,6,-0.6495,-0.9967,0.3542,0.162721,0.596762
2,fixations_short_high_dispersion,6,0.1065,-0.7309,0.9536,0.840836,0.906103
2,fixations_medium_low_dispersion,6,0.3098,-0.9592,0.9779,0.550101,0.762824
2,fixations_medium_high_dispersion,6,-0.5239,-0.9995,0.6414,0.286012,0.686429
2,fixations_long_low_dispersion,6,0.1641,-0.9929,0.9061,0.756022,0.906103
2,fixations_long_high_dispersion,6,0.0627,-0.8292,0.9192,0.906103,0.906103
2,pupil_diameter_small,6,0.6085,-0.1831,1.0,0.199888,0.596762
2,pupil_diameter_medium,6,-0.7903,-1.0,-0.6476,0.061349,0.596762
2,pupil_diameter_large,6,0.5838,-0.8728,0.9946,0.223786,0.596762
2,diff_ecg_heart_rate,6,-0.6302,-0.9892,0.3291,0.179837,0.596762
2,diff_ecg_sdnn,6,0.3345,-0.8315,0.9959,0.516909,0.762824
2,diff_ecg_rmssd,6,0.4133,-0.7687,0.982,0.415348,0.762824
2,diff_ecg_pnn50,6,0.0797,-0.9713,0.9965,0.88077,0.906103
