participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
4,sad_percent,6,-0.2162,-0.9762,0.9712,0.68079,0.906049
4,surprise_percent,6,-0.172,-0.9191,0.8575,0.744498,0.906049
4,fear_percent,6,0.0645,-0.8752,0.981,0.903413,0.9544
4,disgust_percent,6,-0.2756,-0.9131,0.4472,0.597093,0.906049
4,angry_percent,6,,,,,
4,short_blink_percent,6,0.1621,-0.9276,0.8984,0.758918,0.906049
4,medium_blink_percent,6,0.1967,-0.9889,1.0,0.708807,0.906049
4,long_blink_percent,6,-0.2196,-0.9627,0.8944,0.675886,0.906049
4,short_fixation_low_disp_percent,6,0.6965,-0.8348,0.9958,0.124223,0.906049
4,short_fixation_high_disp_percent,6,-0.6965,-0.9958,0.8348,0.124223,0.906049
4,medium_fixation_low_disp_percent,6,0.2923,-0.9996,0.9978,0.573969,0.906049
4,medium_fixation_high_disp_percent,6,-0.2923,-0.9978,0.9996,0.573969,0.906049
4,long_fixation_low_disp_percent,6,0.4651,-0.929,0.9984,0.352627,0.906049
4,long_fixation_high_disp_percent,6,-0.4651,-0.9984,0.929,0.352627,0.906049
4,small_pupil_percent,6,-0.3829,-0.9869,0.8025,0.453722,0.906049
